Date,Price
2019-03-13,91.443
2019-03-14,39.34
2019-03-15,27.161
2019-03-16,20.594
2019-03-17,21.114
2019-03-18,21.019
2019-03-19,19.098
2019-03-20,18.081
2019-03-21,15.875
2019-03-22,14.828
2019-03-23,13.155
2019-03-24,11.655
2019-03-25,11.276
2019-03-26,11.075
2019-03-27,11.04
2019-03-28,10.676
2019-03-29,10.873
2019-03-30,9.996
2019-03-31,8.521
2019-04-01,8.427
2019-04-02,8.437
2019-04-03,8.3
2019-04-04,8.322
2019-04-05,8.232
2019-04-06,8.025
2019-04-07,7.377
2019-04-08,7.047
2019-04-09,6.991
2019-04-10,7.099
2019-04-11,7.028
2019-04-12,6.868
2019-04-13,6.418
2019-04-14,5.636
2019-04-15,5.43
2019-04-16,5.318
2019-04-17,5.491
2019-04-18,5.561
2019-04-19,5.439
2019-04-20,5.187
2019-04-21,4.722
2019-04-22,4.458
2019-04-23,4.204
2019-04-24,4.002
2019-04-25,4.129
2019-04-26,4.153
2019-04-27,4.072
2019-04-28,3.68
2019-04-29,3.412
2019-04-30,3.629
2019-05-01,3.702
2019-05-02,3.572
2019-05-03,3.637
2019-05-04,3.601
2019-05-05,3.267
2019-05-06,3.222
2019-05-07,3.316
2019-05-08,3.368
2019-05-09,3.221
2019-05-10,3.272
2019-05-11,3.259
2019-05-12,3.098
2019-05-13,2.994
2019-05-14,3.078
2019-05-15,3.212
2019-05-16,3.27
2019-05-17,3.276
2019-05-18,2.988
2019-05-19,2.782
2019-05-20,2.887
2019-05-21,2.971
2019-05-22,2.983
2019-05-23,2.942
2019-05-24,2.946
2019-05-25,2.899
2019-05-26,2.862
2019-05-27,2.915
2019-05-28,2.881
2019-05-29,2.91
2019-05-30,2.995
2019-05-31,2.987
2019-06-01,3.04
2019-06-02,2.986
2019-06-03,2.918
2019-06-04,2.866
2019-06-05,2.907
2019-06-06,3.017
2019-06-07,3.026
2019-06-08,3.004
2019-06-09,3.03
2019-06-10,2.96
2019-06-11,2.935
2019-06-12,2.991
2019-06-13,3
2019-06-14,3.002
2019-06-15,3.006
2019-06-16,2.936
2019-06-17,2.881
2019-06-18,2.773
2019-06-19,2.683
2019-06-20,2.514
2019-06-21,2.516
2019-06-22,2.584
2019-06-23,2.566
2019-06-24,2.357
2019-06-25,2.236
2019-06-26,1.994
2019-06-27,1.949
2019-06-28,2.192
2019-06-29,2.376
2019-06-30,2.414
2019-07-01,2.271
2019-07-02,2.269
2019-07-03,2.222
2019-07-04,2.281
2019-07-05,2.36
2019-07-06,2.405
2019-07-07,2.401
2019-07-08,2.366
2019-07-09,2.368
2019-07-10,2.344
2019-07-11,2.387
2019-07-12,2.432
2019-07-13,2.407
2019-07-14,2.325
2019-07-15,2.203
2019-07-16,2.189
2019-07-17,2.11
2019-07-18,2.021
2019-07-19,2.057
2019-07-20,2.074
2019-07-21,2.074
2019-07-22,2.024
2019-07-23,1.979
2019-07-24,1.936
2019-07-25,1.925
2019-07-26,1.95
2019-07-27,2.001
2019-07-28,1.968
2019-07-29,1.876
2019-07-30,1.846
2019-07-31,1.928
2019-08-01,1.996
2019-08-02,2.086
2019-08-03,2.131
2019-08-04,2.14
2019-08-05,2.128
2019-08-06,2.149
2019-08-07,2.188
2019-08-08,2.197
2019-08-09,2.317
2019-08-10,2.393
2019-08-11,2.44
2019-08-12,2.418
2019-08-13,2.513
2019-08-14,2.448
2019-08-15,2.396
2019-08-16,2.468
2019-08-17,2.445
2019-08-18,2.44
2019-08-19,2.375
2019-08-20,2.021
2019-08-21,2.031
2019-08-22,2.067
2019-08-23,2.153
2019-08-24,2.249
2019-08-25,2.159
2019-08-26,2.138
2019-08-27,2.069
2019-08-28,2.06
2019-08-29,2.018
2019-08-30,2.11
2019-08-31,2.178
2019-09-01,2.143
2019-09-02,2.164
2019-09-03,2.227
2019-09-04,2.194
2019-09-05,2.226
2019-09-06,2.22
2019-09-07,2.155
2019-09-08,1.941
2019-09-09,1.89
2019-09-10,1.866
2019-09-11,1.841
2019-09-12,1.865
2019-09-13,1.93
2019-09-14,1.875
2019-09-15,1.69
2019-09-16,1.637
2019-09-17,1.608
2019-09-18,1.575
2019-09-19,1.53
2019-09-20,1.442
2019-09-21,1.366
2019-09-22,1.328
2019-09-23,1.348
2019-09-24,1.394
2019-09-25,1.439
2019-09-26,1.487
2019-09-27,1.583
2019-09-28,1.599
2019-09-29,1.534
2019-09-30,1.57
2019-10-01,1.643
2019-10-02,1.69
2019-10-03,1.745
2019-10-04,1.734
2019-10-05,1.627
2019-10-06,1.535
2019-10-07,1.595
2019-10-08,1.642
2019-10-09,1.639
2019-10-10,1.657
2019-10-11,1.658
2019-10-12,1.642
2019-10-13,1.581
2019-10-14,1.53
2019-10-15,1.49
2019-10-16,1.505
2019-10-17,1.485
2019-10-18,1.479
2019-10-19,1.329
2019-10-20,1.314
2019-10-21,1.315
2019-10-22,1.32
2019-10-23,1.225
2019-10-24,1.101
2019-10-25,1.024
2019-10-26,0.959
2019-10-27,0.904
2019-10-28,0.765
2019-10-29,0.601
2019-10-30,0.503
2019-10-31,0.5
2019-11-01,0.569
2019-11-02,0.652
2019-11-03,0.593
2019-11-04,0.511
2019-11-05,0.463
2019-11-06,0.451
2019-11-07,0.453
2019-11-08,0.45
2019-11-09,0.39
2019-11-10,0.333
2019-11-11,0.283
2019-11-12,0.272
2019-11-13,0.272
2019-11-14,0.272
2019-11-15,0.288
2019-11-16,0.285
2019-11-17,0.257
2019-11-18,0.236
2019-11-19,0.131
2019-11-20,0.102
2019-11-21,0.113
2019-11-22,0.106
2019-11-23,0.115
2019-11-24,0.125
2019-11-25,0.133
2019-11-26,0.128
2019-11-27,0.107
2019-11-28,0.107
2019-11-29,0.106
2019-11-30,0.102
2019-12-01,0.109
2019-12-02,0.113
2019-12-03,0.105
2019-12-04,0.097
2019-12-05,0.1
2019-12-06,0.099
2019-12-07,0.117
2019-12-08,0.116
2019-12-09,0.112
2019-12-10,0.125
2019-12-11,0.133
2019-12-12,0.104
2019-12-13,0.104
2019-12-14,0.119
2019-12-15,0.12
2019-12-16,0.112
2019-12-17,0.113
2019-12-18,0.128
2019-12-19,0.12
2019-12-20,0.108
2019-12-21,0.099
2019-12-22,0.083
2019-12-23,0.095
2019-12-24,0.099
2019-12-25,0.113
2019-12-26,0.122
2019-12-27,0.107
2019-12-28,0.107
2019-12-29,0.1
2019-12-30,0.104
2019-12-31,0.107
2020-01-01,0.125
2020-01-02,0.103
2020-01-03,0.135
2020-01-04,0.164
2020-01-05,0.121
2020-01-06,0.117
2020-01-07,0.112
2020-01-08,0.127
2020-01-09,0.106
2020-01-10,0.126
2020-01-11,0.125
2020-01-12,0.12
2020-01-13,0.116
2020-01-14,0.116
2020-01-15,0.12
2020-01-16,0.125
2020-01-17,0.129
2020-01-18,0.125
2020-01-19,0.126
2020-01-20,0.13
2020-01-21,0.137
2020-01-22,0.133
2020-01-23,0.135
2020-01-24,0.137
2020-01-25,0.137
2020-01-26,0.13
2020-01-27,0.123
2020-01-28,0.117
2020-01-29,0.127
2020-01-30,0.133
2020-01-31,0.14
2020-02-01,0.153
2020-02-02,0.156
2020-02-03,0.146
2020-02-04,0.175
2020-02-05,0.169
2020-02-06,0.166
2020-02-07,0.163
2020-02-08,0.165
2020-02-09,0.151
2020-02-10,0.147
2020-02-11,0.139
2020-02-12,0.138
2020-02-13,0.137
2020-02-14,0.185
2020-02-15,0.159
2020-02-16,0.166
2020-02-17,0.164
2020-02-18,0.154
2020-02-19,0.158
2020-02-20,0.152
