Date,Price
2019-11-18,17.43
2019-11-19,5.964
2019-11-20,5.92
2019-11-21,6.197
2019-11-22,6.082
2019-11-23,6.08
2019-11-24,6.243
2019-11-25,7.013
2019-11-26,6.472
2019-11-27,3.757
2019-11-28,3.981
2019-11-29,4.761
2019-11-30,5.089
2019-12-01,4.78
2019-12-02,4.515
2019-12-03,4.277
2019-12-04,4.335
2019-12-05,4.115
2019-12-06,4.417
2019-12-07,4.35
2019-12-08,4.304
2019-12-09,4.229
2019-12-10,4.033
2019-12-11,3.878
2019-12-12,4.026
2019-12-13,4.345
2019-12-14,4.602
2019-12-15,4.514
2019-12-16,4.417
2019-12-17,4.058
2019-12-18,2.668
2019-12-19,2.698
2019-12-20,2.816
2019-12-21,3.071
2019-12-22,3.088
2019-12-23,3.283
2019-12-24,3.432
2019-12-25,3.057
2019-12-26,3.148
2019-12-27,3.023
2019-12-28,3.078
2019-12-29,3.188
2019-12-30,3.419
2019-12-31,3.664
2020-01-01,3.549
2020-01-02,3.438
2020-01-03,3.537
2020-01-04,3.727
2020-01-05,3.708
2020-01-06,3.676
2020-01-07,3.593
2020-01-08,3.391
2020-01-09,3.501
2020-01-10,3.494
2020-01-11,3.443
2020-01-12,3.452
2020-01-13,3.471
2020-01-14,3.394
2020-01-15,2.79
2020-01-16,2.782
2020-01-17,2.917
2020-01-18,3.016
2020-01-19,3.081
2020-01-20,3.037
2020-01-21,2.959
2020-01-22,2.691
2020-01-23,2.702
2020-01-24,2.772
2020-01-25,2.815
2020-01-26,2.807
2020-01-27,2.788
2020-01-28,2.826
2020-01-29,2.888
2020-01-30,2.972
2020-01-31,3.127
2020-02-01,3.241
2020-02-02,3.248
2020-02-03,3.333
2020-02-04,3.51
2020-02-05,3.521
2020-02-06,3.52
2020-02-07,3.017
2020-02-08,2.948
2020-02-09,2.843
2020-02-10,2.779
2020-02-11,2.722
2020-02-12,2.685
2020-02-13,2.837
2020-02-14,3.036
2020-02-15,3.056
2020-02-16,2.909
2020-02-17,2.867
2020-02-18,2.797
2020-02-19,2.766
2020-02-20,2.73
2020-02-21,2.768
2020-02-22,2.754
2020-02-23,2.735
2020-02-24,2.769
2020-02-25,2.897
2020-02-26,3.139
2020-02-27,3.812
2020-02-28,4.685
2020-02-29,4.469
2020-03-01,3.986
2020-03-02,3.824
2020-03-03,3.622
2020-03-04,3.633
2020-03-05,3.32
