Date,Price
2020-08-07,43.326
2020-08-08,28.047
2020-08-09,21.866
2020-08-10,17.884
2020-08-11,16.004
2020-08-12,14.752
2020-08-13,14.012
2020-08-14,13.357
2020-08-15,13.049
2020-08-16,11.17
2020-08-17,9.86
2020-08-18,9.379
2020-08-19,9.551
2020-08-20,9.599
2020-08-21,9.383
2020-08-22,9.878
2020-08-23,8.947
2020-08-24,8.289
2020-08-25,7.781
2020-08-26,7.755
2020-08-27,7.461
2020-08-28,7.56
2020-08-29,7.461
2020-08-30,6.818
2020-08-31,6.282
2020-09-01,6.268
2020-09-02,6.454
2020-09-03,6.351
2020-09-04,6.556
2020-09-05,6.175
2020-09-06,5.723
2020-09-07,5.694
2020-09-08,5.472
2020-09-09,5.37
2020-09-10,5.719
2020-09-11,5.801
2020-09-12,5.842
2020-09-13,5.704
2020-09-14,5.58
2020-09-15,5.769
2020-09-16,5.9
2020-09-17,5.894
2020-09-18,5.844
2020-09-19,5.787
2020-09-20,5.48
2020-09-21,5.203
2020-09-22,5.087
2020-09-23,5.122
2020-09-24,5.113
2020-09-25,5.156
2020-09-26,4.9
2020-09-27,4.09
2020-09-28,3.668
2020-09-29,3.581
2020-09-30,3.667
2020-10-01,3.938
2020-10-02,3.99
2020-10-03,3.807
2020-10-04,3.694
2020-10-05,3.678
2020-10-06,3.731
2020-10-07,3.781
2020-10-08,3.887
2020-10-09,3.966
2020-10-10,3.942
2020-10-11,3.913
2020-10-12,3.8
2020-10-13,3.801
2020-10-14,3.803
2020-10-15,3.856
2020-10-16,3.911
2020-10-17,3.869
2020-10-18,3.706
2020-10-19,3.509
2020-10-20,3.339
2020-10-21,3.383
2020-10-22,3.45
2020-10-23,3.504
2020-10-24,3.488
2020-10-25,3.19
2020-10-26,2.987
2020-10-27,2.925
2020-10-28,2.898
2020-10-29,2.917
2020-10-30,2.981
2020-10-31,3.012
2020-11-01,2.989
2020-11-02,3.02
2020-11-03,2.974
2020-11-04,2.992
2020-11-05,3.015
2020-11-06,3.129
2020-11-07,3.319
2020-11-08,3.209
2020-11-09,3.028
2020-11-10,3
2020-11-11,3.014
2020-11-12,3.001
2020-11-13,3
2020-11-14,3.008
2020-11-15,2.931
2020-11-16,2.744
2020-11-17,2.707
2020-11-18,2.628
2020-11-19,2.387
2020-11-20,2.469
2020-11-21,2.554
2020-11-22,2.521
2020-11-23,2.403
2020-11-24,2.249
2020-11-25,2.188
2020-11-26,2.169
2020-11-27,2.271
2020-11-28,2.352
2020-11-29,2.281
2020-11-30,2.227
2020-12-01,2.165
2020-12-02,2.242
2020-12-03,2.17
2020-12-04,1.062
2020-12-05,1.115
2020-12-06,1.044
2020-12-07,1.023
2020-12-08,0.987
2020-12-09,0.96
2020-12-10,0.993
2020-12-11,1.023
2020-12-12,0.997
2020-12-13,0.935
2020-12-14,0.895
2020-12-15,0.916
2020-12-16,0.913
2020-12-17,0.944
2020-12-18,0.986
2020-12-19,1.014
2020-12-20,1.043
2020-12-21,1.03
2020-12-22,1.033
2020-12-23,1.122
2020-12-24,1.246
2020-12-25,1.517
2020-12-26,1.549
2020-12-27,1.442
2020-12-28,1.394
2020-12-29,1.391
2020-12-30,1.44
2020-12-31,1.637
2021-01-01,1.961
2021-01-02,1.854
2021-01-03,1.802
2021-01-04,1.603
2021-01-05,1.491
2021-01-06,1.455
2021-01-07,1.477
2021-01-08,1.578
2021-01-09,1.741
2021-01-10,1.82
2021-01-11,1.811
2021-01-12,1.796
2021-01-13,1.891
2021-01-14,1.895
2021-01-15,1.917
2021-01-16,2.026
2021-01-17,2.017
2021-01-18,2.03
2021-01-19,2.007
2021-01-20,1.982
2021-01-21,1.995
2021-01-22,2.013
2021-01-23,2.016
2021-01-24,1.984
2021-01-25,1.953
2021-01-26,1.887
2021-01-27,1.824
2021-01-28,1.558
2021-01-29,1.726
2021-01-30,1.809
2021-01-31,1.763
2021-02-01,1.735
2021-02-02,1.723
2021-02-03,1.675
2021-02-04,1.687
2021-02-05,1.719
2021-02-06,1.752
2021-02-07,1.744
2021-02-08,1.705
2021-02-09,1.708
2021-02-10,1.687
2021-02-11,1.772
2021-02-12,1.796
2021-02-13,1.809
2021-02-14,1.766
2021-02-15,1.731
2021-02-16,1.77
2021-02-17,1.767
2021-02-18,1.745
2021-02-19,1.783
2021-02-20,1.841
2021-02-21,1.884
2021-02-22,1.906
2021-02-23,1.993
2021-02-24,2.163
2021-02-25,2.337
2021-02-26,2.503
2021-02-27,2.695
2021-02-28,2.704
2021-03-01,2.55
2021-03-02,2.458
2021-03-03,2.382
2021-03-04,2.368
2021-03-05,2.407
2021-03-06,2.507
2021-03-07,2.564
2021-03-08,2.483
2021-03-09,2.463
2021-03-10,2.437
2021-03-11,2.427
2021-03-12,2.439
2021-03-13,2.429
2021-03-14,2.363
2021-03-15,2.27
2021-03-16,2.214
2021-03-17,2.176
2021-03-18,2.217
2021-03-19,2.24
2021-03-20,2.266
2021-03-21,2.194
2021-03-22,2.188
2021-03-23,2.185
2021-03-24,2.215
2021-03-25,2.265
2021-03-26,2.3
2021-03-27,2.344
2021-03-28,2.321
2021-03-29,2.348
2021-03-30,2.325
2021-03-31,2.368
2021-04-01,2.419
2021-04-02,2.448
2021-04-03,2.458
2021-04-04,2.442
2021-04-05,2.469
2021-04-06,2.425
2021-04-07,2.288
2021-04-08,2.089
2021-04-09,2.109
2021-04-10,2.049
2021-04-11,1.983
2021-04-12,1.996
2021-04-13,1.979
2021-04-14,2.039
2021-04-15,2.017
2021-04-16,1.972
2021-04-17,1.973
2021-04-18,1.918
2021-04-19,1.858
2021-04-20,1.813
2021-04-21,1.8
2021-04-22,1.83
2021-04-23,1.889
2021-04-24,1.909
2021-04-25,1.886
2021-04-26,1.887
2021-04-27,1.897
2021-04-28,1.903
2021-04-29,1.899
2021-04-30,1.908
2021-05-01,1.914
2021-05-02,1.881
2021-05-03,1.842
2021-05-04,1.601
2021-05-05,1.571
2021-05-06,1.552
2021-05-07,1.603
2021-05-08,1.619
2021-05-09,1.609
2021-05-10,1.599
2021-05-11,1.576
2021-05-12,1.582
2021-05-13,1.573
2021-05-14,1.598
2021-05-15,1.618
2021-05-16,1.605
2021-05-17,1.558
2021-05-18,1.516
2021-05-19,1.461
2021-05-20,1.426
2021-05-21,1.429
2021-05-22,1.462
2021-05-23,1.413
2021-05-24,1.418
2021-05-25,1.407
2021-05-26,1.411
2021-05-27,1.415
2021-05-28,1.415
2021-05-29,1.415
2021-05-30,1.407
2021-05-31,1.404
2021-06-01,1.402
2021-06-02,1.404
2021-06-03,1.374
2021-06-04,1.456
2021-06-05,1.54
2021-06-06,1.443
2021-06-07,1.389
2021-06-08,1.384
2021-06-09,1.399
2021-06-10,1.385
2021-06-11,1.396
2021-06-12,1.397
2021-06-13,1.402
2021-06-14,1.39
2021-06-15,1.389
2021-06-16,1.367
2021-06-17,1.358
2021-06-18,1.35
2021-06-19,1.37
2021-06-20,1.334
2021-06-21,1.262
2021-06-22,1.232
2021-06-23,1.184
2021-06-24,1.09
2021-06-25,1.072
2021-06-26,1.056
2021-06-27,1.072
2021-06-28,1.045
2021-06-29,1.029
2021-06-30,1.003
2021-07-01,0.999
2021-07-02,1.015
2021-07-03,1.012
2021-07-04,0.975
2021-07-05,0.95
2021-07-06,0.921
2021-07-07,0.893
2021-07-08,0.84
2021-07-09,0.824
2021-07-10,0.832
2021-07-11,0.819
2021-07-12,0.77
2021-07-13,0.732
2021-07-14,0.742
2021-07-15,0.748
2021-07-16,0.77
2021-07-17,0.787
2021-07-18,0.768
2021-07-19,0.739
2021-07-20,0.749
2021-07-21,0.73
2021-07-22,0.716
2021-07-23,0.723
2021-07-24,0.738
2021-07-25,0.732
2021-07-26,0.727
2021-07-27,0.763
2021-07-28,0.763
2021-07-29,0.717
2021-07-30,0.729
2021-07-31,0.757
2021-08-01,0.763
2021-08-02,0.75
2021-08-03,0.764
2021-08-04,0.773
2021-08-05,0.821
2021-08-06,0.776
2021-08-07,0.764
2021-08-08,0.767
2021-08-09,0.737
2021-08-10,0.711
2021-08-11,0.692
2021-08-12,0.669
2021-08-13,0.672
2021-08-14,0.67
2021-08-15,0.667
2021-08-16,0.624
2021-08-17,0.613
2021-08-18,0.604
2021-08-19,0.597
2021-08-20,0.608
2021-08-21,0.619
2021-08-22,0.623
2021-08-23,0.622
2021-08-24,0.603
2021-08-25,0.598
2021-08-26,0.603
2021-08-27,0.612
2021-08-28,0.64
2021-08-29,0.624
2021-08-30,0.608
2021-08-31,0.628
2021-09-01,0.639
2021-09-02,0.666
2021-09-03,0.682
2021-09-04,0.681
2021-09-05,0.688
2021-09-06,0.674
2021-09-07,0.651
2021-09-08,0.622
2021-09-09,0.622
2021-09-10,0.611
2021-09-11,0.601
2021-09-12,0.61
2021-09-13,0.621
2021-09-14,0.595
2021-09-15,0.609
2021-09-16,0.602
2021-09-17,0.597
2021-09-18,0.594
2021-09-19,0.587
2021-09-20,0.582
2021-09-21,0.571
2021-09-22,0.413
2021-09-23,0.335
2021-09-24,0.323
2021-09-25,0.327
2021-09-26,0.336
2021-09-27,0.322
2021-09-28,0.311
2021-09-29,0.308
